Time,Throttle,Brake,Steering,Speed
0.000,0.000,0.000,0.000,0.000
0.020,0.000,0.000,0.000,1.730
0.115,0.000,0.000,0.000,4.957
0.128,0.000,0.000,0.000,4.934
0.139,0.000,0.000,0.000,4.851
0.153,0.000,0.000,0.000,4.542
0.168,0.000,0.000,0.000,4.332
0.182,0.000,0.000,0.000,3.837
0.195,0.000,0.000,0.000,3.565
0.209,0.000,0.000,0.000,3.284
0.222,0.000,0.000,0.000,2.713
0.236,0.000,0.000,0.000,2.431
0.250,0.000,0.000,0.000,1.890
0.264,0.000,0.000,0.000,1.635
0.279,0.000,0.000,0.000,1.393
0.292,0.000,0.000,0.000,0.954
0.306,0.000,0.000,0.000,0.758
0.319,0.000,0.000,0.000,0.579
0.333,0.000,0.000,0.000,0.269
0.347,0.000,0.000,0.000,0.139
0.361,0.000,0.000,0.000,0.076
0.375,0.000,0.000,0.000,0.162
0.388,0.000,0.000,0.000,0.234
0.401,0.000,0.000,0.000,0.342
0.416,0.000,0.000,0.000,0.380
0.430,0.000,0.000,0.000,0.426
0.445,0.000,0.000,0.000,0.437
0.458,0.000,0.000,0.000,0.441
0.472,0.000,0.000,0.000,0.431
0.486,0.000,0.000,0.000,0.419
0.500,0.000,0.000,0.000,0.403
0.511,0.000,0.000,0.000,0.364
0.527,0.000,0.000,0.000,0.341
0.541,0.000,0.000,0.000,0.291
0.555,0.000,0.000,0.000,0.266
0.569,0.000,0.000,0.000,0.241
0.581,0.000,0.000,0.000,0.191
0.597,0.000,0.000,0.000,0.168
0.611,0.000,0.000,0.000,0.124
0.624,0.000,0.000,0.000,0.103
0.637,0.000,0.000,0.000,0.085
0.650,0.000,0.000,0.000,0.067
0.664,0.000,0.000,0.000,0.037
0.680,0.000,0.000,0.000,0.012
0.694,0.000,0.000,0.000,0.002
0.720,0.000,0.000,0.000,0.021
0.866,0.000,0.000,0.000,0.030
0.879,0.000,0.000,0.000,0.028
1.172,0.000,0.000,0.000,0.003
1.186,0.000,0.000,0.000,0.003
1.241,0.000,0.000,0.000,0.002
1.268,0.000,0.000,0.000,0.002
1.298,0.000,0.000,0.000,0.001
1.311,0.000,0.000,0.000,0.001
1.325,0.000,0.000,0.000,0.001
1.338,0.000,0.000,0.000,0.000
1.352,0.000,0.000,0.000,0.000
1.366,0.000,0.000,0.000,0.000
1.379,0.000,0.000,0.000,0.000
1.394,0.000,0.000,0.000,0.000
1.406,0.000,0.000,0.000,0.000
1.420,0.000,0.000,0.000,0.000
1.434,0.000,0.000,0.000,0.000
1.448,0.000,0.000,0.000,0.000
1.462,0.000,0.000,0.000,0.000
1.476,0.000,0.000,0.000,0.000
1.490,0.000,0.000,0.000,0.000
1.504,0.000,0.000,0.000,0.000
1.518,0.000,0.000,0.000,0.000
1.531,0.000,0.000,0.000,0.000
1.544,0.000,0.000,0.000,0.000
1.561,0.000,0.000,0.000,0.000
1.573,0.000,0.000,0.000,0.000
1.587,0.000,0.000,0.000,0.000
1.601,0.000,0.000,0.000,0.000
1.615,0.000,0.000,0.000,0.000
1.631,0.000,0.000,0.000,0.000
1.643,0.000,0.000,0.000,0.000
1.657,0.000,0.000,0.000,0.000
1.671,0.000,0.000,0.000,0.000
1.685,0.000,0.000,0.000,0.000
1.698,0.000,0.000,0.000,0.000
1.712,0.000,0.000,0.000,0.000
1.726,0.000,0.000,0.000,0.000
1.740,0.000,0.000,0.000,0.000
1.756,0.000,0.000,0.000,0.000
1.768,0.000,0.000,0.000,0.000
1.782,0.000,0.000,0.000,0.000
1.796,0.000,0.000,0.000,0.000
1.809,0.000,0.000,0.000,0.000
1.823,0.000,0.000,0.000,0.000
1.837,0.000,0.000,0.000,0.000
1.852,0.000,0.000,0.000,0.000
1.865,0.000,0.000,0.000,0.000
1.880,0.000,0.000,0.000,0.000
1.893,0.000,0.000,0.000,0.000
1.908,0.000,0.000,0.000,0.000
1.922,0.000,0.000,0.000,0.000
1.936,0.000,0.000,0.000,0.000
1.949,0.000,0.000,0.000,0.000
1.964,0.000,0.000,0.000,0.000
1.977,0.000,0.000,0.000,0.000
1.991,0.000,0.000,0.000,0.000
2.005,0.000,0.000,0.000,0.000
2.019,0.000,0.000,0.000,0.000
2.032,0.000,0.000,0.000,0.000
2.048,0.000,0.000,0.000,0.000
2.060,0.000,0.000,0.000,0.000
2.076,0.000,0.000,0.000,0.000
2.409,0.000,0.000,0.000,0.000
2.426,0.000,0.000,0.000,0.000
2.439,0.000,0.000,0.000,0.000
2.453,0.000,0.000,0.000,0.000
2.466,0.000,0.000,0.000,0.000
2.481,0.000,0.000,0.000,0.000
2.496,0.000,0.000,0.000,0.000
2.509,0.000,0.000,0.000,0.000
2.524,0.000,0.000,0.000,0.000
2.537,0.000,0.000,0.000,0.000
2.551,0.000,0.000,0.000,0.000
2.564,0.000,0.000,0.000,0.000
2.578,0.000,0.000,0.000,0.000
2.592,0.000,0.000,0.000,0.000
2.606,0.000,0.000,0.000,0.000
2.620,0.000,0.000,0.000,0.000
2.634,0.000,0.000,0.000,0.000
2.648,0.000,0.000,0.000,0.000
2.662,0.000,0.000,0.000,0.000
2.676,0.000,0.000,0.000,0.000
2.690,0.000,0.000,0.000,0.000
2.703,0.000,0.000,0.000,0.000
2.719,0.000,0.000,0.000,0.000
2.731,0.000,0.000,0.000,0.000
2.745,0.000,0.000,0.000,0.000
2.759,0.000,0.000,0.000,0.000
2.773,0.000,0.000,0.000,0.000
2.787,0.000,0.000,0.000,0.000
2.800,0.000,0.000,0.000,0.000
2.815,0.000,0.000,0.000,0.000
2.829,0.000,0.000,0.000,0.000
2.842,0.000,0.000,0.000,0.000
2.856,0.000,0.000,0.000,0.000
2.871,0.000,0.000,0.000,0.000
2.884,0.000,0.000,0.000,0.000
2.898,0.000,0.000,0.000,0.000
2.913,0.000,0.000,0.000,0.000
2.925,0.000,0.000,0.000,0.000
2.939,0.000,0.000,0.000,0.000
2.953,0.000,0.000,0.000,0.000
2.967,0.000,0.000,0.000,0.000
2.981,0.000,0.000,0.000,0.000
2.995,0.000,0.000,0.000,0.000
3.010,0.000,0.000,0.000,0.000
3.024,0.000,0.000,0.000,0.000
3.037,0.000,0.000,0.000,0.000
3.051,0.000,0.000,0.000,0.000
3.065,0.000,0.000,0.000,0.000
3.079,0.000,0.000,0.000,0.000
3.092,0.000,0.000,0.000,0.000
3.107,0.000,0.000,0.000,0.000
3.120,0.000,0.000,0.000,0.000
3.134,0.000,0.000,0.000,0.000
3.148,0.000,0.000,0.000,0.000
3.162,0.000,0.000,0.000,0.000
3.176,0.000,0.000,0.000,0.000
3.190,0.000,0.000,0.000,0.000
3.205,0.000,0.000,0.000,0.000
3.217,0.000,0.000,0.000,0.000
3.232,0.000,0.000,0.000,0.000
3.246,0.000,0.000,0.000,0.000
3.259,0.000,0.000,0.000,0.000
3.273,0.000,0.000,0.000,0.000
3.287,0.000,0.000,0.000,0.000
3.302,0.000,0.000,0.000,0.000
3.315,0.000,0.000,0.000,0.000
3.329,0.000,0.000,0.000,0.000
3.343,0.000,0.000,0.000,0.000
