Time,Throttle,Brake,Steering,Speed
0.000,0.000,0.000,0.000,0.000
0.020,0.000,0.000,0.000,0.582
0.050,0.000,0.000,0.000,1.038
0.056,0.000,0.000,0.000,1.221
0.062,0.000,0.000,0.000,1.374
0.070,0.000,0.000,0.000,1.501
0.081,0.000,0.000,0.000,1.601
0.111,0.000,0.000,0.000,1.762
0.444,0.000,0.000,0.000,0.225
0.507,0.000,0.000,0.000,0.270
0.532,0.000,0.000,0.000,0.256
0.553,0.000,0.000,0.000,0.237
0.569,0.000,0.000,0.000,0.226
0.586,0.000,0.000,0.000,0.201
0.605,0.000,0.000,0.000,0.173
0.623,0.000,0.000,0.000,0.145
0.701,0.000,0.000,0.000,0.041
0.726,0.000,0.000,0.000,0.021
0.746,0.000,0.000,0.000,0.003
0.766,0.000,0.000,0.000,0.011
0.786,0.000,0.000,0.000,0.022
0.805,0.000,0.000,0.000,0.030
0.824,0.000,0.000,0.000,0.036
0.843,0.000,0.000,0.000,0.040
0.862,0.000,0.000,0.000,0.041
0.882,0.000,0.000,0.000,0.041
0.902,0.000,0.000,0.000,0.039
0.922,0.000,0.000,0.000,0.036
0.942,0.000,0.000,0.000,0.033
0.962,0.000,0.000,0.000,0.029
0.981,0.000,0.000,0.000,0.025
1.001,0.000,0.000,0.000,0.020
1.020,0.000,0.000,0.000,0.016
1.039,0.000,0.000,0.000,0.014
1.057,0.000,0.000,0.000,0.010
1.078,0.000,0.000,0.000,0.007
1.101,0.000,0.000,0.000,0.002
1.123,0.000,0.000,0.000,0.000
1.138,0.000,0.000,0.000,0.001
1.152,0.000,0.000,0.000,0.003
1.165,0.000,0.000,0.000,0.004
1.178,0.000,0.000,0.000,0.004
1.190,0.000,0.000,0.000,0.005
1.203,0.000,0.000,0.000,0.006
1.214,0.000,0.000,0.000,0.006
1.225,0.000,0.000,0.000,0.006
1.235,0.000,0.000,0.000,0.006
1.245,0.000,0.000,0.000,0.006
1.255,0.000,0.000,0.000,0.006
1.266,0.000,0.000,0.000,0.006
1.275,0.000,0.000,0.000,0.006
1.285,0.000,0.000,0.000,0.006
1.297,0.000,0.000,0.000,0.006
1.307,0.000,0.000,0.000,0.005
1.317,0.000,0.000,0.000,0.005
1.326,0.000,0.000,0.000,0.005
1.337,0.000,0.000,0.000,0.004
1.347,0.000,0.000,0.000,0.004
1.357,0.000,0.000,0.000,0.004
1.368,0.000,0.000,0.000,0.004
1.379,0.000,0.000,0.000,0.003
1.389,0.000,0.000,0.000,0.003
1.399,0.000,0.000,0.000,0.003
1.409,0.000,0.000,0.000,0.002
1.419,0.000,0.000,0.000,0.002
1.429,0.000,0.000,0.000,0.002
1.439,0.000,0.000,0.000,0.001
1.449,0.000,0.000,0.000,0.001
1.458,0.000,0.000,0.000,0.001
1.468,0.000,0.000,0.000,0.001
1.477,0.000,0.000,0.000,0.000
1.487,0.000,0.000,0.000,0.000
1.497,0.000,0.000,0.000,0.000
1.507,0.000,0.000,0.000,0.000
1.516,0.000,0.000,0.000,0.000
1.527,0.000,0.000,0.000,0.000
1.537,0.000,0.000,0.000,0.001
1.548,0.000,0.000,0.000,0.001
1.557,0.000,0.000,0.000,0.001
1.568,0.000,0.000,0.000,0.001
1.579,0.000,0.000,0.000,0.001
1.589,0.000,0.000,0.000,0.001
1.601,0.000,0.000,0.000,0.001
1.613,0.000,0.000,0.000,0.001
1.623,0.000,0.000,0.000,0.001
1.634,0.000,0.000,0.000,0.001
1.646,0.000,0.000,0.000,0.001
1.656,0.000,0.000,0.000,0.001
1.666,0.000,0.000,0.000,0.001
1.677,0.000,0.000,0.000,0.001
1.687,0.000,0.000,0.000,0.001
1.697,0.000,0.000,0.000,0.001
1.709,0.000,0.000,0.000,0.001
1.719,0.000,0.000,0.000,0.001
1.729,0.000,0.000,0.000,0.001
1.739,0.000,0.000,0.000,0.001
1.749,0.000,0.000,0.000,0.000
1.759,0.000,0.000,0.000,0.000
1.769,0.000,0.000,0.000,0.000
1.779,0.000,0.000,0.000,0.000
1.789,0.000,0.000,0.000,0.000
1.799,0.000,0.000,0.000,0.000
1.810,0.000,0.000,0.000,0.000
1.819,0.000,0.000,0.000,0.000
1.829,0.000,0.000,0.000,0.000
1.840,0.000,0.000,0.000,0.000
1.850,0.000,0.000,0.000,0.000
1.860,0.000,0.000,0.000,0.000
1.870,0.000,0.000,0.000,0.000
1.880,0.000,0.000,0.000,0.000
1.890,0.000,0.000,0.000,0.000
1.900,0.000,0.000,0.000,0.000
1.911,0.000,0.000,0.000,0.000
1.921,0.000,0.000,0.000,0.000
1.930,0.000,0.000,0.000,0.000
1.939,0.000,0.000,0.000,0.000
1.949,0.000,0.000,0.000,0.000
1.959,0.000,0.000,0.000,0.000
1.969,0.000,0.000,0.000,0.000
1.979,0.000,0.000,0.000,0.000
1.989,0.000,0.000,0.000,0.000
2.000,0.000,0.000,0.000,0.000
2.010,0.000,0.000,0.000,0.000
2.020,0.000,0.000,0.000,0.000
2.030,0.000,0.000,0.000,0.000
2.040,0.000,0.000,0.000,0.000
2.051,0.000,0.000,0.000,0.000
2.060,0.000,0.000,0.000,0.000
2.069,0.000,0.000,0.000,0.000
2.079,0.000,0.000,0.000,0.000
2.089,0.000,0.000,0.000,0.000
2.100,0.000,0.000,0.000,0.000
2.109,0.000,0.000,0.000,0.000
2.120,0.000,0.000,0.000,0.000
2.129,0.000,0.000,0.000,0.000
2.139,0.000,0.000,0.000,0.000
2.148,0.000,0.000,0.000,0.000
2.157,0.000,0.000,0.000,0.000
2.167,0.000,0.000,0.000,0.000
2.175,0.000,0.000,0.000,0.000
2.186,0.000,0.000,0.000,0.000
2.195,0.000,0.000,0.000,0.000
2.206,0.000,0.000,0.000,0.000
2.216,0.000,0.000,0.000,0.000
2.238,0.000,0.000,0.000,0.000
2.248,0.000,0.000,0.000,0.000
2.258,0.000,0.000,0.000,0.000
2.269,0.000,0.000,0.000,0.000
2.278,0.000,0.000,0.000,0.000
2.288,0.000,0.000,0.000,0.000
2.297,0.000,0.000,0.000,0.000
2.307,0.000,0.000,0.000,0.000
2.316,0.000,0.000,0.000,0.000
2.326,0.000,0.000,0.000,0.000
2.335,0.000,0.000,0.000,0.000
2.345,0.000,0.000,0.000,0.000
2.359,0.000,0.000,0.000,0.000
2.367,0.000,0.000,0.000,0.000
2.376,0.000,0.000,0.000,0.000
2.386,0.000,0.000,0.000,0.000
2.395,0.000,0.000,0.000,0.000
2.406,0.000,0.000,0.000,0.000
2.415,0.000,0.000,0.000,0.000
2.749,0.000,0.000,0.000,0.000
2.799,0.000,0.000,0.000,0.000
2.816,0.000,0.000,0.000,0.000
2.825,0.000,0.000,0.000,0.000
2.835,0.000,0.000,0.000,0.000
2.846,0.000,0.000,0.000,0.000
2.855,0.000,0.000,0.000,0.000
2.865,0.000,0.000,0.000,0.000
2.874,0.000,0.000,0.000,0.000
2.884,0.000,0.000,0.000,0.000
2.893,0.000,0.000,0.000,0.000
2.903,0.000,0.000,0.000,0.000
2.913,0.000,0.000,0.000,0.000
2.922,0.000,0.000,0.000,0.000
2.932,0.000,0.000,0.000,0.000
2.942,0.000,0.000,0.000,0.000
2.952,0.000,0.000,0.000,0.000
2.961,0.000,0.000,0.000,0.000
2.971,0.000,0.000,0.000,0.000
2.981,0.000,0.000,0.000,0.000
2.990,0.000,0.000,0.000,0.000
3.000,0.000,0.000,0.000,0.000
3.008,0.000,0.000,0.000,0.000
3.018,0.000,0.000,0.000,0.000
3.027,0.000,0.000,0.000,0.000
